Blockgroup,Average_Income(USD)
530330001001,131601.1236
530330001002,53967.56329
530330001003,82872.80702
530330001004,38659.85577
530330001005,54125.59618
530330002001,84493.16629
530330002002,51479.40075
530330002003,60047.59239
530330002004,55213.29365
530330002005,72906.73212
530330002006,120020.4499
530330003001,93372.59101
530330003002,81443.54839
530330004011,42265.32827
530330004012,82058.38323
530330004013,38658.22785
530330004021,70348.83721
530330004022,85706.94087
530330004023,83585.30405
530330004024,106767.4564
530330005001,146346.1538
530330005002,138782.8947
530330005003,139616.7048
530330006001,88313.95349
530330006002,53088.82236
530330006003,75233.67953
530330006004,80046.2963
530330006005,99827.30263
530330006006,77007.35294
530330007001,51968.31364
530330007002,67838.64542
530330007003,115524.1935
530330007004,109387.4172
530330008001,109021.0177
530330008002,110400.5282
530330009001,150077.951
530330009002,148107.5949
530330010001,74472.60274
530330010002,105286.8852
530330011001,94191.86047
530330011002,103396.3691
530330012001,107734.9624
530330012002,65432.03883
530330012003,32279.41176
530330012004,51204.35393
530330012005,33181.81818
530330013001,77213.66995
530330013002,80234.48276
530330013003,84070.76205
530330014001,72929.56656
530330014002,97251.24378
530330014003,84391.89189
530330014004,120264.0264
530330015001,104837.9175
530330015002,130706.5217
530330016001,154575.7299
530330016002,128766.2942
530330016003,87371.70088
530330017011,80086.2069
530330017012,89866.41221
530330017013,96142.08633
530330017021,65742.4812
530330017022,76459.88806
530330017023,82605.70825
530330017024,87837.07865
530330018001,120392.5035
530330018002,88153.15315
530330018003,75419.60094
530330019001,68060.49069
530330019002,130942.7767
530330019003,103021.7391
530330020001,105911.5854
530330020002,98491.64927
530330020003,109609.1205
530330021001,112750.3794
530330021002,80592.26933
530330021003,111289.5928
530330022001,137921.0526
530330022002,130496.3235
530330022003,185148.423
530330022004,172369.6911
530330024001,148538.4615
530330024002,104307.4792
530330024003,125992.9435
530330025001,116906.1462
530330025002,117228.9157
530330026001,102553.0888
530330026002,142621.0526
530330026003,117540.0356
530330026004,100563.1868
530330027001,106614.1457
530330027002,160074.7664
530330027003,157033.8115
530330027004,145601.3746
530330028001,130492.126
530330028002,102906.3205
530330028003,99889.09427
530330028004,112248.8756
530330029001,105901.5152
530330029002,136598.2972
530330029003,120852.2727
530330030001,103531.2024
530330030002,102640.264
530330030003,92766.78141
530330030004,121762.7119
530330031001,139208.243
530330031002,110000
530330031003,92101.25448
530330031004,138294.3548
530330031005,109556.1224
530330032001,99683.33333
530330032002,86821.42857
530330032003,85763.65188
530330032004,74222.91994
530330032005,98323.75479
530330032006,104932.4324
530330032007,140541.5755
530330033001,121795.8861
530330033002,96041.18993
530330033003,105649.2537
530330033004,91433.59375
530330033005,102887.1681
530330034001,121353.1187
530330034002,120270.5061
530330034003,126806.1927
530330035001,109116.2791
530330035002,121413.5338
530330035003,94887.00565
530330036001,77536.37566
530330036002,101311.5285
530330036003,112019.7487
530330036004,83966.66667
530330038001,118273.1959
530330038002,129460.9164
530330039001,116567.8524
530330039002,171735.0746
530330040001,95492.06349
530330040002,166876.6578
530330041001,100277.2964
530330041002,182837.7193
530330041003,239601.6771
530330041004,135348.6395
530330041005,129694.5137
530330041006,195810.1045
530330042001,146205.6505
530330042002,135243.5065
530330042003,108037.9747
530330042004,155067.5676
530330042005,158633.0275
530330043011,63292.68293
530330043012,108967.2802
530330043013,146132.8125
530330043021,32981.44876
530330043022,28326.65904
530330044001,122758.216
530330044002,95503.28947
530330044003,86367.43215
530330044004,36956.06695
530330045001,83175.87209
530330045002,142105.0671
530330046001,128949.3534
530330046002,136691.9192
530330046003,144689.2265
530330047001,85914.90964
530330047002,79496.01367
530330047003,95838.35341
530330047004,81015.37646
530330048001,115848.5194
530330048002,125870.462
530330048003,87928.94281
530330048004,117038.5396
530330049001,88961.03896
530330049002,95026.88172
530330049003,114914.8148
530330049004,93065.47619
530330049005,92661.55531
530330050001,100066.2739
530330050002,112306.8182
530330050003,67833.98184
530330051001,103954.8872
530330051002,140127.2016
530330051003,135705.819
530330052001,21848.37093
530330052002,37715.96859
530330052003,96624.08759
530330052004,134986.1368
530330052005,41439.64111
530330053011,41671.42857
530330053012,26754.18216
530330053013,24727.27273
530330053014,17152.24111
530330053021,28125
530330053022,46071.42857
530330053023,0
530330054001,119951.2195
530330054002,128725.2825
530330054003,105428.5714
530330054004,82604.05257
530330056001,157722.0249
530330056002,174021.3946
530330056003,209674.1573
530330056004,187623.2394
530330056005,146970
530330057001,139110.8247
530330057002,146927.2908
530330057003,107584.8416
530330057004,129476.7442
530330057005,116372.1414
530330057006,100827.3121
530330058011,84068.5413
530330058012,72602.10396
530330058013,93859.7973
530330058014,90780.2795
530330058021,104441.5918
530330058022,88221.53575
530330058023,89461.34347
530330059001,97320.07576
530330059002,141208.8388
530330059003,75898.76033
530330059004,162707.6271
530330059005,176307.4398
530330060001,101762.7824
530330060002,151407.0352
530330060003,216698.6456
530330060004,90789.68903
530330061001,149877.4885
530330061002,123376.1905
530330061003,98428.1768
530330061004,79759.50119
530330062001,136775.5444
530330062002,173590.1639
530330062003,166634.3669
530330063001,114400.2448
530330063002,158538.206
530330063003,172747.6636
530330063004,192547.7099
530330064001,171883.2599
530330064002,201011.4504
530330064003,176077.0975
530330065001,197208.3333
530330065002,112971.5569
530330065003,118536.9955
530330066001,103059.4406
530330066002,102180.5317
530330067001,116608.6801
530330067002,92137.09677
530330067003,103215.2778
530330067004,107362.2661
530330068001,134073.0838
530330068002,129450.7803
530330069001,131798.419
530330069002,138973.2143
530330069003,112996.1089
530330069004,118729.3729
530330070001,111282.1429
530330070002,65507.17213
530330070003,92394.33643
530330070004,92761.53846
530330070005,69658.20313
530330070006,106367.6996
530330071001,78984.45092
530330071002,106427.1047
530330072001,101425.0199
530330072002,92313.1068
530330072003,73121.13003
530330073001,91434.64052
530330073002,62673.70273
530330073003,149140.7678
530330074011,91073.44633
530330074012,86232.03285
530330074013,89308.39612
530330074014,70404.56432
530330074021,78241.37931
530330074022,53061.66348
530330074023,65581.72303
530330075001,75816.27907
530330075002,87405.43735
530330075003,73872.36084
530330075004,72296.58259
530330075005,96556.80224
530330076001,110629.529
530330076002,86713.21526
530330076003,87440.39271
530330077001,127749.4692
530330077002,147547.7327
530330077003,121388.8889
530330077004,124606.9005
530330078001,198186.7589
530330078002,159340.9426
530330078003,128874.0079
530330078004,157587.8099
530330079001,99008.87574
530330079002,76184.49782
530330079003,100022.6244
530330079004,84235.86041
530330079005,72217.41638
530330080011,112651.0574
530330080012,73012.82051
530330080013,116803.653
530330080014,101971.5026
530330080015,127516
530330080021,57795.48989
530330080022,79495.90583
530330081001,124294.3381
530330081002,81015.43943
530330081003,65318.34112
530330082001,101915.5844
530330082002,76897.62151
530330082003,76140.64603
530330083001,71149.49037
530330083002,70430.40293
530330084001,50240.1537
530330084002,69301.75781
530330084003,84038.8828
530330085001,78028.16901
530330085002,39332.54344
530330085003,12384.61538
530330086001,66726.44163
530330086002,61684.45122
530330086003,44746.52087
530330087001,91503.87597
530330087002,57169.50959
530330087003,87185.69364
530330088001,117914.4385
530330088002,91624.29379
530330088003,72425.37313
530330089001,118202.8754
530330089002,132959.6413
530330089003,93056.04203
530330089004,99975.90361
530330090001,76682.34443
530330090002,52564.22455
530330091001,42004.08998
530330091002,44839.05579
530330092001,39822.54697
530330092002,46465.85052
530330093001,69395.6044
530330093002,169479.8658
530330093003,97747.31183
530330094001,44182.33083
530330094002,83190.32258
530330094003,49677.00258
530330094004,73902.64026
530330094005,60806.60377
530330095001,144939.7163
530330095002,82725.65923
530330095003,175476.4344
530330095004,93837.9397
530330096001,137219.7309
530330096002,70669.82409
530330096003,133852.459
530330096004,84162.94643
530330096005,139024.0453
530330097011,104397.5283
530330097012,81167.95367
530330097013,102484.6626
530330097014,144646.4968
530330097021,130723.3503
530330097022,128653.3505
530330097023,98550.34722
530330097024,117662.7604
530330097025,113262.7119
530330098001,123826.0456
530330098002,121923.7288
530330098003,124538.0435
530330098004,99134.05797
530330098005,64247.75449
530330099001,99741.21996
530330099002,90179.5393
530330099003,74958.23389
530330099004,95228.19473
530330100011,94590.27778
530330100012,96319.07308
530330100013,60288.94472
530330100021,81451.40665
530330100022,70000
530330100023,123422.2561
530330100024,70958.90411
530330101001,151924.7312
530330101002,87187.5
530330101003,86031.5534
530330101004,71982.50729
530330101005,89884.51935
530330102001,112567.3401
530330102002,127255.6818
530330102003,78538.25137
530330102004,98789.84064
530330103001,82693.62187
530330103002,71617.04312
530330103003,51492.64706
530330103004,58041.40127
530330103005,80943.68812
530330104011,92950.5814
530330104012,68568.77323
530330104013,84075.14451
530330104021,101631.3559
530330104022,86674.5283
530330104023,82350.13624
530330104024,97363.0137
530330105001,65334.33134
530330105002,100917.0472
530330105003,119984.8178
530330105004,61753.24675
530330105005,86733.60107
530330106001,163777.4295
530330106002,81910.6814
530330106003,90766.97128
530330106004,103993.5065
530330106005,112160.5375
530330106006,87027.47253
530330107011,56988.93572
530330107012,93086.09959
530330107021,105843.6853
530330107022,48461.87943
530330107023,49120.8134
530330108001,88023.25581
530330108002,85572.70916
530330108003,84682.59629
530330109001,55959.38375
530330109002,54791.66667
530330110011,63075.44757
530330110012,35685.89744
530330110013,49149.24506
530330110021,69015.41096
530330110022,50227.27273
530330110023,77409.47075
530330111011,41280.63725
530330111012,61099.29078
530330111013,75083.08157
530330111014,91380.68182
530330111021,120943.8776
530330111022,67979.21478
530330111023,49112.90323
530330111024,89947.1831
530330112001,47565.21739
530330112002,53538.87399
530330112003,56120.12987
530330113001,55864.13043
530330113002,85035.61254
530330113003,67594.50172
530330113004,79348.24903
530330113005,88236.71498
530330114011,52733.38608
530330114012,60449.89775
530330114013,83038.59964
530330114021,65518.78354
530330114022,55839.38294
530330114023,53071.89542
530330115001,95651.96998
530330115002,101009.539
530330115003,90070.24266
530330116001,112150.8621
530330116002,126763.3517
530330116003,134265.6766
530330116004,120309.2105
530330116005,162528.9352
530330116006,110218.1208
530330117001,46781.67421
530330117002,65639.81043
530330117003,87107.07269
530330117004,86651.37615
530330118001,104556.5553
530330118002,121084.5588
530330118003,73035.11706
530330118004,38719.70921
530330118005,53070.4698
530330118006,31765.87302
530330119001,99876.39553
530330119002,79593.45794
530330119003,69956.04396
530330119004,55080.64516
530330119005,84757.88288
530330120001,74372.52964
530330120002,105389.3905
530330120003,120576.9231
530330121001,153621.7304
530330121002,124735.2941
530330201001,91782.86853
530330201002,115222.6463
530330201003,154875.3463
530330202001,98620.25316
530330202002,75158.17223
530330202003,61612.67606
530330202004,103840.8521
530330202005,127128.5377
530330203001,65717.02454
530330203002,83976.13065
530330203003,75432.92683
530330203004,96797.75281
530330203005,47348.34123
530330204011,65954.3179
530330204012,113530.7692
530330204013,86083.33333
530330204021,75969.12521
530330204022,113229.3869
530330204023,61601.42349
530330204024,142271.4286
530330204025,68287.54579
530330205001,56217.3913
530330205002,70218.21632
530330205003,87742.13075
530330205004,79940.94488
530330205005,70276.24309
530330205006,88154.95208
530330206001,132319.5876
530330206002,79208.86076
530330206003,86598.63946
530330206004,84032.25806
530330207001,66242.85714
530330207002,61014.23488
530330207003,75981.70732
530330208001,67822.58065
530330208002,108179.8715
530330208003,145127.4788
530330208004,136047.9042
530330209001,78143.10051
530330209002,86186.34259
530330209003,134256.0322
530330210001,99115.75563
530330210002,116457.2193
530330210003,71971.64948
530330210004,73932.80632
530330210005,92783.95062
530330211001,95182.72425
530330211002,99077.90927
530330211003,47723.8806
530330211004,0
530330213001,108994.3343
530330213002,76005.91716
530330213003,81181.17229
530330214001,106597.2222
530330214002,122803.0303
530330214003,140149.7934
530330215001,138735.119
530330215002,118445.9459
530330215003,147354.1667
530330215004,122523.9808
530330216001,107811.3027
530330216002,75500
530330216003,117974.8603
530330216004,138959.0164
530330217001,72366.80328
530330217002,130952.2059
530330217003,115552.3256
530330217004,55421.45594
530330217005,84581.94906
530330218021,105161.7076
530330218022,85415.3269
530330218023,131250
530330218031,84082.03125
530330218032,89024.39024
530330218033,69343.69603
530330218034,120059.2105
530330218041,108446.8439
530330218042,76537.19008
530330218043,88949.77169
530330219031,70636.61202
530330219032,104838.9175
530330219033,108274.9077
530330219034,78313.60947
530330219035,93068.72038
530330219041,101310.7203
530330219042,131379.9283
530330219043,102296.2963
530330219044,134057.2626
530330219051,94014.57541
530330219052,120355.6034
530330219053,110731.5891
530330219054,87944.96487
530330219061,137817.1642
530330219062,108037.5427
530330219063,71525.8216
530330220011,107820.7739
530330220012,80277.32128
530330220013,126788.7473
530330220031,104673.913
530330220032,99757.57576
530330220033,97675.4386
530330220034,88314.87342
530330220035,68895.70552
530330220051,105526.7062
530330220052,104653.6524
530330220053,81878.22165
530330220061,133903.9855
530330220062,105469.0265
530330220063,58876.50086
530330221011,108985.4369
530330221012,161119.5055
530330221013,101564.1026
530330221014,119882.1549
530330221021,117179.2619
530330221022,111770.4626
530330221023,95206.71835
530330221024,123227.459
530330222011,92362.15539
530330222012,88109.319
530330222013,77256.6064
530330222014,111947.9495
530330222021,138935.3612
530330222022,93387.21805
530330222023,114512.7953
530330222024,104252.3923
530330222025,91464.5602
530330222031,154164.4114
530330222032,140394.1441
530330222033,135505.4945
530330223001,141672.2408
530330223002,162500
530330224001,130543.2243
530330224002,131771.6942
530330224003,154807.6923
530330224004,126213.034
530330224005,154405.0343
530330224006,178131.4168
530330225001,128247.5728
530330225002,162409.3904
530330225003,94971.31148
530330225004,117580.1448
530330225005,112271.2418
530330226031,70315.18625
530330226032,146122.807
530330226033,117670.6037
530330226034,135494.7917
530330226035,101380.3419
530330226041,126017.1569
530330226042,104729.5082
530330226043,130194.5525
530330226051,89973.23818
530330226052,103179.8986
530330226053,85339.39394
530330226061,145045.045
530330226062,77804.62185
530330226063,137680.5778
530330226064,155939.5973
530330227011,116951.2195
530330227012,124185.2487
530330227021,148528.9116
530330227022,138237.2654
530330227023,150760.6132
530330227031,129813.6646
530330227032,141114.2857
530330228011,115226.4079
530330228012,86347.63948
530330228013,183630.9524
530330228014,86254.57875
530330228021,119024.7411
530330228022,130367.3835
530330228023,143824.7173
530330228031,181850.4532
530330228032,153180.1661
530330228033,73455.79793
530330229011,125123.6264
530330229012,162611.1111
530330229021,155531.401
530330229022,166236.2637
530330229023,142645.6311
530330229024,120483.3333
530330229025,148178.934
530330230001,175916.8443
530330230002,112111.4865
530330230003,123676.4706
530330230004,132334.4749
530330231001,104692.7711
530330231002,98251.17371
530330231003,150989.6811
530330232011,91025.79853
530330232012,97908.16327
530330232013,100084.7458
530330232021,56329.15567
530330232022,115613.6364
530330232023,54700.67454
530330233001,120234.7243
530330233002,100955.6962
530330233003,89512.98701
530330233004,98397.4359
530330234011,100688.4058
530330234012,98156.15836
530330234013,71048.17708
530330234031,119464.8438
530330234032,124921.7119
530330234033,143877.4403
530330234041,146587.5371
530330234042,176090.1468
530330235001,135440.8602
530330235002,124497.4227
530330235003,116737.5887
530330236011,85753.18246
530330236012,89268.1962
530330236013,142609.2896
530330236031,131622.1374
530330236032,80430.10753
530330236033,141222.5877
530330236034,102413.0879
530330236041,86283.98792
530330236042,101362.9032
530330236043,96102.75689
530330236044,104641.8539
530330237001,165402.6217
530330237002,166297.1698
530330237003,97913.53383
530330238011,120475.0403
530330238012,94297.32314
530330238031,116361.6715
530330238032,106100.2102
530330238041,92480.09101
530330238042,118588.4831
530330238043,132912.6704
530330239001,90856.38298
530330239002,161925.1543
